State,Code,Location,"Square
Feet","Year
Opened",Description of Operation
Georgia,MGE1,"650 Broadway Ave., Braselton, Georgia, USA, 30517-3002","613000
,","October
2016","Large Sortable : Household decor items, sporting equipment and gardening tools"
Georgia,MGE3,"808 Hog Mountain Road,
Building F, Jefferson, Georgia, USA, 30549","822,300","July
2017",Large Non-Sortable
Indiana,IND1,"4255 Anson Blvd , Whitestown, Indiana, USA, 46075-4412","1,000,000","August
2008","Large & Small Sortable
Expanded by 400,000 Sq. Ft. in February, 2011. 2,000 associates."
Indiana,IND2/ IND3,"715 & 717 Airtech Parkway, Plainfield, Hendricks County, Indiana, USA, 46168","947,300","October
2008","IND2 is Large Non-Sortable
IND3 is BISS/Small Parts"
Indiana,IND4/ UIN1,"710 South Girls School Road, Indianapolis, Indiana, USA, 46231-1132","902,900","June
2011","Small Sortable
Specialty Text Book Fulfillment Center"
Indiana,IND5,"800 South Perry Road, Plainfield, Hendricks County, Indiana, USA, 46168-7937","925,800","August
2011","Large Non-Sortable
Specialty Facility for HazMat merchandise"
Indiana,IND7,"9101 Orly Drive, Indianapolis, Indiana, USA, 46241-9605","695,300","September
2016","Supplemental Fulfillment Center set up inside of an existing Pepsi building near the IND airport. IND7 stows sortable case
transshipped from IXD (cross dock) facilities, and then ships trans-out to nearby FC's (IND1, MKE1, LEX1)."
Indiana,SDF8,"900 Patrol Road, Jeffersonville, Clark County, Indiana, USA, 47130-7761","1,200,000","October
2012","Specialty Fulfillment Center for Apparel; shoes, watches, and jewelry"
Indiana,XUSE,"5460 Industial Court Suite 300, Whitestown, Indiana, USA, 46075","624,000","October
2013",Large Non-Sortable
Illinois,MDW4,"201 Emerald Drive, Joliet. Illinois",700.000,"October
2016","Specialty Fulfillment Center for Apparel; shoes, watches. and jewelry"
Illinois,STL4,"3050 Gateway Commerce Center Drive South, Edwardsville,
Illinois, USA, 62025-2815","717,000","September
2016",Large Non-Sortable
Illinois,STL6/ STL7,"3931 Lakeview Corporate Dr, Edwardsville, Illinois, USA, 62025-2801","769,500","September
 2016",Small Sortable
Illinois,MDW6,"1125 W Remington Blvd, Romeoville, Illinois, USA, 60446- 6529","767,000","October
2016",Large Non-Sortable
Illinois,MDW7,"6521 W. Monee Manhattan Road, Monee, Illinois, USA, 60449-9668",856.600,"October
2017",Small Sortable
Illinois,MDW8,"1750 Bridge Drive, Waukegan, Illinois, USA, 60085","626,800","July
2017",Large Non-Sortable
Illinois,MDW9,"2806 Duke Parkway, Aurora, Illinois. USA, 60504","1.000,000",Q3 2018,Small Sortable
Illinois,,"Route 59, Aurora, Illinois, USA, 60504","400,000",2018,Large Non-Sortable
Kansas,MKC4,"31450 W 196th Street, Gardner (Edgerton), Kansas, USA, 66021","822,100",Q4 2016,"Large Non-Sortable
Inland port facility. Employs 1,000 associates"
Kansas,MKC6,"6925 Riverview Ave., Kansas City, Kansas, USA, 66102-3047","856,000","July
2017",Small Sortable
Kansas,MCI7,"27200 West 157th Street, Johnson (New Century), Kansas, USA, 66031","446,500",Q4 2016,
Kansas,MCI8,"23100 W 43rd Street, Shawnee, Kansas, USA, 66226","80,000",2017,Official announcement not made yet. Role of facility TBD.
Kentucky,CVG8,"7968 Kentucky Dr, Suites 2-3. Florence, Kentucky, USA, 41042","172,100","July
2015","Amazon UNO
Specialty : Small and light-weight products"
Kentucky,CVG1/ PICV,"Bldg. F Park W Intl, 1155 Worldwide Blvd., Hebron, Kentucky, USA, 41048-8648","484,000","June
2005","Specialty Fulfillment Center Apparel for Endless.com, Myhabit and Amazon Apparel"
Kentucky,CVG2,"1600 Worldwide Blvd., Hebron, Kentucky, USA, 41048","543,000","December
2005",Non-Sortable and Non-Sortable Returns
Kentucky,LEX1/ LEX3,"1850 Mercer Drive, Lexington, Kentucky, USA, 40511","650,000","November
2000","LEX1: Small Sortable
LEX3: Printing Make on Demand (MOD)"
Kentucky,LEX2,"172 Trade St., Lexington, Kentucky, USA, 40511","380,000","June
2006",Warehouse Deals and Returns Center
Kentucky,SDF1,"1050 South Columbia Avenue , Campbellsville, Kentucky, USA, 42718-1337","727,000","May
1999","Large Sortable
Expanded from 570,000 Sq. Ft. in 1999"
Kentucky,SDF2,"4360 Robards Lane, Louisville, Kentucky, USA, 40218","110,000","September
2005","Specialty FC: High Value watches, and jewelry"
Kentucky,SDF4,"376 Zappos.com Blvd, Shepherdsville, Kentucky, USA, 40165","823,000","September
2005",Specialty FC: Apparel /Footwear support Zappos.com
Kentucky,SDF6,"271 Omega Pkwy, Shepherdsville, Kentucky, USA, 40165","118,000","April
2012",Specialty FC: Apparel /Footwear support Zappos.com
Kentucky,SDF7,"300 Omicron Court, Cedar Grove Business Park, Shepherdsville, Kentucky, USA, 40165","281,000","April
2012",Specialty FC: Apparel /Footwear
Kentucky,SDF9,"100 W. Thomas P. Echols Lane, St. 3, Shepherdsville, Kentucky, USA, 40165-7594","600,000","October
2013",Returns Center Apparel/Footwear
