State,Code,Location,"Square
Feet","Year
Opened",Description of Operation
California,ONT8,"24300 Nandina Ave, Moreno Valley, California, USA, 92553","769,300","August
2014",Inbound Cross Dock (IXD)
Illinois,MDW2,"250 Emerald Drive/401 E. Layaway Rd, Joliet, Illinois","475,100","October
2015",Inbound Cross Dock (IXD)
Kentucky,CVG3,"3680 Langley Dr., Hebron, Kentucky, USA, 41048","711,400","July
2007",Inbound Cross Dock (IXD)
New Jersey,ABE8/ TTN1,"309 Cedar Lane, Florence, New Jersey, USA, 08518-2802","613,900","September
2016",Inbound Cross Dock (IXD)
North Carolina,CLT2,"10240 Old Dowd Road, Mecklenburg, Charlotte, North Carolina, USA, 28214-8082","397,800","October
2016","Inbound Cross Dock (IXD)
Amazon Prime Air Service Network"
Pennsylvania,AVP1,"550 Oak Ridge Road, Hazleton, Pennsylvania, USA, 18202-9361","615,600","July
2008",Inbound Cross Dock (IXD)
Texas,FTW1,"33333 Lyndon B Johnson Freeway , Dallas, Texas, USA, 75241-7203","500,000","October
2015",Inbound Cross Dock (IXD)
